;;Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)
Democratic People's Republic of Korea; Beer;0.18;0.26;0.36;0.48;0.42;0.26;0.30;0.34;0.33;0.36;0.34;0.37;0.37;0.37;0.37;0.37;0.36;0.39;0.41;0.48
Democratic People's Republic of Korea; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Democratic People's Republic of Korea; Spirits;Mai 75;Mai 73;Mai 21;Mai 19;Mrz 45;Mrz 44;Mrz 53;Mrz 39;Mrz 41;Mrz 35;Mrz 34;Mrz 30;Mrz 22;Mrz 14;03. Okt;Feb 96;Feb 65;Feb 37;Feb 40;Feb 15
Democratic People's Republic of Korea; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Democratic Republic of the Congo; All types;Jan 89;Jan 89;Jan 90;Jan 87;2.00;Jan 84;Jan 96;Jan 93;02. Nov;Feb 29;Jan 92;02. Dez;Feb 36;Feb 34;Feb 69;Feb 27;Feb 16;02. Aug;Feb 17;02. Okt
Democratic Republic of the Congo; Beer;0.13;0.18;0.20;0.15;0.26;0.19;0.26;0.21;0.29;0.41;0.25;0.41;0.59;0.54;0.85;0.43;0.30;0.18;0.25;0.16
Democratic Republic of the Congo; Wine;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;0.01;0.01;0.01
Democratic Republic of the Congo; Spirits;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00
Democratic Republic of the Congo; Other alcoholic beverages;Jan 74;Jan 70;Jan 69;Jan 72;Jan 73;Jan 65;Jan 69;Jan 71;Jan 77;Jan 87;Jan 66;Jan 70;Jan 75;Jan 79;Jan 82;Jan 83;Jan 85;Jan 89;Jan 91;Jan 93
Denmark; All types;Nov 62;Nov 69;Dez 20;Dez 27;Dez 16;Dez 14;Nov 89;Nov 94;Nov 76;Nov 85;Nov 65;Nov 90;Nov 74;Dez 26;Dez 20;Dez 40;Dez 81;Dez 47;12. Sep;Nov 50
Denmark; Beer;Jun 24;Jun 41;Jun 92;Jul 14;Jul 27;Jul 34;Jul 25;Jul 29;Jul 25;Jul 45;Jul 45;Jul 27;Jul 17;Jul 67;Jul 44;8.00;Aug 31;08. Mrz;Jul 86;Jul 68
Denmark; Wine;04. Jan;Mrz 91;Mrz 93;Mrz 78;Mrz 68;Mrz 48;Mrz 34;Mrz 22;Feb 92;Feb 82;Feb 55;Feb 88;Feb 75;Feb 66;Feb 79;Feb 56;Feb 58;Feb 39;Feb 22;Jan 95
Denmark; Spirits;Jan 37;Jan 37;Jan 35;Jan 35;Jan 21;Jan 32;Jan 30;Jan 43;Jan 59;Jan 58;Jan 65;Jan 75;Jan 82;Jan 93;Jan 97;Jan 84;Jan 92;02. Mai;02. Jan;Jan 87
Denmark; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Djibouti; All types;0.93;Jan 34;Jan 48;0.47;0.42;0.57;0.69;0.60;0.76;0.78;0.87;0.97;Jan 60;Feb 27;Feb 96;Feb 48;Feb 69;02. Apr;Jan 91;Jan 76
Djibouti; Beer;0.22;0.24;0.25;0.26;0.20;0.28;0.40;0.33;0.36;0.37;0.35;0.37;0.48;0.43;0.50;0.45;0.59;0.49;0.48;0.38
Djibouti; Wine;0.04;0.07;0.08;0.11;0.12;0.19;0.19;0.16;0.22;0.21;0.27;0.31;0.38;0.34;0.52;0.51;0.63;0.49;0.52;0.48
Djibouti; Spirits;0.67;01. Mrz;Jan 14;0.09;0.10;0.10;0.10;0.10;0.18;0.19;0.25;0.28;0.73;Jan 49;Jan 93;Jan 51;Jan 44;01. Feb;0.90;0.89
Djibouti; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Dominica; All types;Jul 48;Jul 51;Aug 42;Jul 42;Okt 41;Aug 45;Okt 33;Okt 28;Nov 61;Sep 35;;;;;;;;;;
Dominica; Beer;0.46;0.34;0.88;0.45;Feb 46;Jan 86;Feb 13;Jan 91;Jan 36;01. Mai;;;;;;;;;;
Dominica; Wine;0.29;0.81;0.81;0.51;0.83;0.79;0.75;0.12;0.30;0.12;;;;;;;;;;
Dominica; Spirits;Jun 56;Jun 29;Jun 57;Jun 36;07. Jun;Mai 74;Jul 40;Aug 18;Sep 87;08. Dez;;;;;;;;;;
Dominica; Other alcoholic beverages;0.16;0.07;0.16;0.09;0.05;0.06;0.03;0.06;0.08;0.06;;;;;;;;;;
Dominican Republic; All types;Jun 28;06. Jan;Mai 80;Mai 67;Mai 52;Mai 86;Mai 63;06. Mai;Apr 94;Mai 35;Apr 53;Apr 32;Apr 38;Mrz 73;Mrz 52;Mrz 63;Mrz 38;Mrz 69;Mrz 79;Mrz 82
Dominican Republic; Beer;Feb 79;Feb 54;Feb 18;Jan 95;02. Jan;Feb 20;Jan 93;Feb 16;Jan 55;Jan 50;Jan 54;Jan 54;Jan 32;Jan 24;Jan 20;01. Aug;Jan 23;Jan 46;Jan 71;Jan 61
Dominican Republic; Wine;0.10;0.12;0.09;0.08;0.07;0.04;0.04;0.04;0.04;0.03;0.04;0.03;0.03;0.06;0.04;0.02;0.01;0.03;0.04;0.03
Dominican Republic; Spirits;Mrz 39;Mrz 34;Mrz 52;Mrz 63;Mrz 44;Mrz 62;Mrz 66;Mrz 84;Mrz 35;Mrz 81;Feb 95;Feb 74;03. Feb;Feb 42;Feb 28;Feb 53;Feb 14;Feb 21;02. Mrz;Feb 18
Dominican Republic; Other alcoholic beverages;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ecuador; All types;Jan 58;Jan 81;Jan 52;Jan 67;Feb 30;Feb 13;Feb 39;Feb 44;Feb 43;02. Okt;Feb 54;Mrz 35;Feb 54;Feb 50;Feb 32;Feb 33;Feb 79;Feb 95;Mrz 14;Mrz 39
Ecuador; Beer;Jan 28;Jan 40;Jan 16;0.64;0.59;0.72;Jan 21;Jan 37;Jan 30;01. Sep;Jan 59;Feb 16;Jan 47;Jan 38;Jan 26;Jan 30;Jan 57;Jan 63;Jan 72;Jan 78
Ecuador; Wine;0.03;0.05;0.06;0.13;0.13;0.31;0.13;0.08;0.06;0.02;0.03;0.04;0.05;0.04;0.01;0.02;0.02;0.04;0.06;0.07
Ecuador; Spirits;0.27;0.35;0.30;0.90;Jan 58;01. Nov;01. Mrz;0.99;01. Jul;0.98;0.92;Jan 15;01. Feb;01. Aug;01. Mai;01. Jan;Jan 20;Jan 28;Jan 35;Jan 54
Ecuador; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Egypt; All types;0.08;0.08;0.08;0.08;0.07;0.08;0.07;0.08;0.09;0.10;0.42;0.41;0.39;0.39;0.37;0.37;0.35;0.36;0.31;0.35
Egypt; Beer;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.06;0.07;0.08;0.07;0.07;0.07;0.07;0.06;0.06;0.05;0.08;0.08;0.07
Egypt; Wine;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Egypt; Spirits;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.34;0.33;0.31;0.31;0.30;0.31;0.29;0.27;0.23;0.27
Egypt; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
El Salvador; All types;Mrz 18;Feb 79;Feb 83;Feb 57;Feb 77;Feb 64;Feb 46;Feb 17;Feb 32;Feb 20;Jan 77;Jan 84;Feb 26;Feb 41;Feb 57;Feb 56;Feb 54;Feb 79;03. Aug;Feb 88
El Salvador; Beer;Jan 28;01. Dez;Jan 21;Jan 32;Jan 40;Jan 27;Jan 34;Jan 24;1.00;0.93;0.81;0.86;0.90;0.90;0.77;0.71;0.59;0.73;0.84;0.82
El Salvador; Wine;0.04;0.04;0.03;0.03;0.04;0.05;0.03;0.03;0.03;0.02;0.02;0.02;0.03;0.02;0.01;0.04;0.01;0.01;0.01;0.01
El Salvador; Spirits;Jan 86;Jan 63;Jan 59;Jan 22;Jan 33;Jan 31;01. Aug;0.90;Jan 27;Jan 24;0.94;0.96;Jan 34;Jan 49;Jan 80;Jan 81;Jan 93;02. Mai;Feb 23;02. Apr
El Salvador; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;0.00;0.00
Equatorial Guinea; All types;Jan 15;Feb 68;Feb 74;Feb 80;Mrz 57;Jan 68;Mai 84;04. Sep;Mrz 99;Mrz 17;Jun 49;Mai 97;Feb 40;Jan 84;0.25;0.08;0.06;;;
Equatorial Guinea; Beer;0.45;Jan 96;02. Jan;02. Mai;Jan 64;0.31;Jan 47;Jan 30;0.69;0.87;0.67;0.55;0.33;0.54;0.25;0.08;0.06;;;
Equatorial Guinea; Wine;0.70;0.72;0.74;0.75;Jan 93;Jan 37;Apr 37;Feb 80;Mrz 30;Feb 29;Mai 82;Mai 42;02. Jul;Jan 30;0.00;0.00;0.00;;;
Equatorial Guinea; Spirits;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
Equatorial Guinea; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;0.00;0.00;0.00;0.00;No data;No data;No data;;;
Eritrea; All types;Jan 41;Jan 73;Jan 57;Jan 64;Feb 17;Jan 53;Jan 29;0.70;0.22;0.22;0.29;0.42;0.39;0.30;0.54;0.55;0.57;0.58;0.59;0.61
Eritrea; Beer;01. Jul;0.93;0.93;0.87;Jan 13;0.54;0.33;0.19;0.06;0.06;0.08;0.11;0.11;0.08;0.15;0.16;0.15;0.16;0.16;0.17
Eritrea; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Eritrea; Spirits;0.00;0.01;0.01;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Eritrea; Other alcoholic beverages;0.34;0.79;0.63;0.76;01. Mrz;0.97;0.96;0.51;0.16;0.16;0.21;0.31;0.28;0.22;0.39;0.39;0.42;0.42;0.43;0.44
Ethiopia; All types;0.89;0.79;0.84;0.79;0.70;0.66;0.68;0.65;0.78;0.92;0.86;0.66;0.63;0.62;0.63;0.68;0.98;0.76;0.90;0.92
Ethiopia; Beer;0.51;0.50;0.52;0.50;0.49;0.43;0.48;0.46;0.49;0.67;0.67;0.56;0.54;0.53;0.54;0.58;0.83;0.65;0.76;0.78
Ethiopia; Wine;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethiopia; Spirits;0.09;0.09;0.09;0.08;0.08;0.07;0.08;0.07;0.07;0.10;0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethiopia; Other alcoholic beverages;0.29;0.20;0.24;0.20;0.13;0.15;0.12;0.12;0.22;0.15;0.10;0.10;0.09;0.09;0.09;0.10;0.15;0.11;0.14;0.14
Fiji; All types;Feb 25;Jan 96;02. Jan;02. Dez;Jan 81;Jan 89;02. Mai;Feb 14;Feb 15;Feb 35;Jan 95;Jan 79;Jan 65;Jan 81;02. Mai;Feb 19;Feb 24;Feb 45;Feb 64;Feb 73
Fiji; Beer;Jan 79;Jan 70;Jan 70;Jan 72;Jan 63;Jan 72;Jan 82;Jan 91;02. Mrz;Feb 16;Jan 78;Jan 59;Jan 51;Jan 65;Jan 86;Jan 97;02. Jul;Feb 16;02. Okt;02. Okt
Fiji; Wine;0.23;0.21;0.20;0.18;0.12;0.12;0.11;0.11;0.10;0.11;0.13;0.16;0.11;0.11;0.15;0.13;0.13;0.14;0.12;0.10
Fiji; Spirits;0.22;0.05;0.10;0.21;0.06;0.06;0.12;0.13;0.02;0.07;0.05;0.04;0.03;0.05;0.04;0.09;0.03;0.15;0.41;0.52
Fiji; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Finland; All types;Aug 62;Aug 60;Aug 56;Aug 24;Aug 31;Aug 16;Aug 39;Aug 88;Sep 22;Sep 53;Sep 42;09. Mrz;Aug 75;Aug 51;08. Feb;08. Jun;Jul 94;Jul 92;08. Jan;Jul 94
Finland; Beer;Apr 34;Apr 38;Apr 51;Apr 43;Apr 48;Apr 56;Apr 71;Apr 89;Apr 82;Apr 78;Apr 55;Apr 23;Mrz 88;Mrz 70;Mrz 48;Mrz 35;Mrz 23;Mrz 17;Mrz 25;Mrz 26
Finland; Wine;Jan 91;Jan 73;Jan 65;Jan 48;Jan 42;Jan 30;Jan 21;Jan 20;Jan 15;01. Feb;0.98;0.93;0.89;0.88;0.83;0.85;0.93;0.97;01. Jul;0.93
Finland; Spirits;01. Okt;Jan 16;01. Nov;01. Aug;Jan 20;01. Jul;Jan 14;Jan 30;Jan 52;Jan 73;Jan 80;Jan 80;Jan 85;Jan 82;Jan 74;Jan 79;Jan 65;Jan 75;Jan 71;Jan 74
Finland; Other alcoholic beverages;Jan 27;Jan 33;Jan 29;Jan 25;Jan 29;Jan 23;Jan 32;Jan 50;Jan 76;2.00;02. Sep;02. Jul;Feb 13;02. Nov;02. Jan;02. Jul;Feb 13;02. Mrz;Jan 98;02. Jan
France; All types;13.15;13.27;13.31;13.77;14. Dez;14. Nov;14.24;14.72;14.85;15.73;16. Mai;15.86;15.90;16.13;16.59;16.89;17.72;18.25;18.33;18.97
France; Beer;Feb 39;Feb 38;Feb 29;Feb 45;Feb 43;Feb 45;Feb 44;Feb 56;Feb 53;Feb 60;Feb 56;Feb 47;Feb 45;Feb 55;Feb 54;Feb 62;Feb 78;Feb 79;Feb 82;Feb 85
France; Wine;Jul 80;Jul 89;08. Feb;Aug 18;Aug 61;Aug 56;Aug 71;Aug 87;Sep 21;10. Jan;Okt 24;Okt 28;Okt 42;Okt 62;11. Okt;Nov 45;Nov 91;Dez 37;Dez 55;Dez 88
France; Spirits;Feb 71;Feb 75;Feb 75;Feb 87;Feb 82;Feb 84;Feb 83;03. Sep;Feb 85;Feb 86;Feb 98;Feb 85;Feb 77;Feb 71;Feb 70;Feb 58;Feb 77;Feb 83;Feb 71;Feb 97
France; Other alcoholic beverages;0.25;0.25;0.25;0.27;0.26;0.26;0.26;0.20;0.26;0.26;0.27;0.26;0.26;0.25;0.25;0.24;0.26;0.26;0.25;0.27
Gabon; All types;Aug 93;Aug 67;Sep 41;Aug 70;Sep 35;Jul 26;Aug 39;Aug 75;Okt 44;Sep 49;Sep 34;Dez 28;Nov 40;13.73;14.75;15.14;14.67;14.44;Nov 88;Nov 89
Gabon; Beer;Mai 89;Mai 54;Mai 69;Mai 73;Jun 61;Mai 15;Mai 86;Jun 29;Jul 80;07. Feb;Jun 49;Aug 25;Jul 17;Jul 87;Aug 33;Jul 62;Jul 59;Jul 56;06. Mai;Jun 21
Gabon; Wine;Jan 96;02. Feb;Feb 25;Jan 93;02. Jan;Jan 58;02. Feb;Jan 77;Jan 93;02. Mai;Feb 43;Mrz 49;Mrz 59;5.00;Mai 40;Jun 14;Mai 79;Mai 61;Apr 48;Apr 54
Gabon; Spirits;01. Aug;01. Nov;Jan 47;01. Apr;0.73;0.53;0.51;0.69;0.71;0.41;0.42;0.53;0.65;0.86;01. Feb;Jan 38;Jan 29;Jan 28;Jan 35;Jan 14
Gabon; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Gambia; All types;Feb 17;Jan 88;Jan 58;Jan 44;Jan 38;Jan 56;Jan 43;Jan 72;Jan 45;Jan 66;Jan 64;Jan 80;Jan 96;Feb 19;Jan 67;Jan 27;Jan 56;Jan 47;0.94;0.72
Gambia; Beer;0.17;0.04;0.05;0.05;0.01;0.05;0.05;0.05;0.03;0.05;0.06;0.07;0.07;0.08;0.06;0.04;0.06;0.05;0.03;0.02
Gambia; Wine;0.00;0.03;0.06;0.06;0.03;0.09;0.06;0.05;0.01;0.05;0.03;0.07;0.09;0.09;0.10;0.14;0.07;0.08;0.08;0.08
Gambia; Spirits;0.04;0.05;0.05;0.05;0.02;0.06;0.06;0.03;0.03;0.03;0.03;0.04;0.04;0.06;0.07;0.07;0.07;0.07;0.07;0.07
Gambia; Other alcoholic beverages;Jan 96;Jan 76;Jan 42;Jan 28;Jan 32;Jan 36;Jan 25;Jan 58;Jan 38;Jan 52;Jan 51;Jan 61;Jan 76;Jan 96;Jan 44;01. Feb;Jan 37;Jan 27;0.75;0.55
Georgia; All types;02. Jun;02. Sep;Feb 62;Mrz 51;Mrz 35;Mai 39;Jun 52;Jun 76;Mrz 17;Apr 84;;;;;;;;;;
Georgia; Beer;0.17;0.14;0.15;0.18;0.29;0.11;0.06;0.04;0.00;0.00;;;;;;;;;;
Georgia; Wine;Jan 87;Jan 89;Feb 14;Feb 38;Feb 40;Apr 86;Apr 87;Mai 26;Mrz 17;Apr 84;;;;;;;;;;
Georgia; Spirits;0.02;0.06;0.33;0.94;0.66;0.42;Jan 58;Jan 46;0.00;0.00;;;;;;;;;;
Georgia; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;;;;;;;;;
Germany; All types;Dez 78;Dez 74;13.00;13. Dez;13.35;13.37;13.50;13.84;13.92;14.89;14.64;14.61;14.82;14.72;15.14;15.14;15.75;15.69;16. Jan;16.45
Germany; Beer;Jul 57;07. Feb;Jul 24;Jul 29;Jul 52;Jul 61;Jul 48;Aug 22;08. Sep;Aug 51;Aug 47;Aug 45;Aug 52;Aug 68;Aug 66;Aug 67;Aug 97;9.00;Aug 98;Aug 95
Germany; Wine;3.00;03. Mai;03. Sep;03. Jun;03. Jan;Feb 93;03. Jul;03. Mrz;3.00;Mrz 73;Mrz 74;Mrz 67;Mrz 66;Mrz 32;Mrz 66;Mrz 70;Mrz 84;Mrz 62;Mrz 62;Mrz 75
Germany; Spirits;Feb 37;Feb 67;Feb 67;Feb 77;Feb 82;Feb 83;Feb 95;Feb 59;Feb 83;Feb 66;Feb 43;Feb 49;Feb 65;Feb 72;Feb 82;Feb 78;Feb 95;03. Aug;Mrz 41;Mrz 74
Germany; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Ghana; All types;Jan 64;Jan 72;Jan 65;Jan 87;Jan 94;Jan 86;Jan 82;Jan 58;Jan 47;Jan 30;Jan 49;Jan 55;Jan 71;Jan 35;Jan 46;Jan 61;Jan 47;Jan 51;Jan 64;Jan 63
Ghana; Beer;0.38;0.37;0.35;0.34;0.32;0.32;0.32;0.35;0.32;0.37;0.39;0.28;0.26;0.30;0.34;0.29;0.32;0.30;0.30;0.30
Ghana; Wine;0.04;0.05;0.03;0.06;0.05;0.05;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00
Ghana; Spirits;0.00;0.00;0.01;0.02;0.04;0.04;0.03;0.03;0.02;0.02;0.02;0.01;0.02;0.02;0.03;0.03;0.03;0.02;0.03;0.08
Ghana; Other alcoholic beverages;Jan 22;Jan 30;Jan 26;Jan 45;Jan 53;Jan 45;Jan 45;Jan 19;01. Dez;0.91;Jan 45;01. Jun;1.00;Jan 13;Jan 30;01. Jul;Jan 20;Jan 15;Jan 15;Jan 13
Greece; All types;Sep 47;09. Mrz;Sep 50;Sep 67;10. Sep;Okt 43;Okt 67;Sep 99;Okt 18;Okt 33;Okt 15;10. Okt;Sep 82;Aug 92;Okt 88;Nov 59;Nov 78;11. Jan;12. Apr;13.21
Greece; Beer;Feb 54;Feb 49;Feb 32;Feb 33;Feb 40;Feb 54;Feb 55;Feb 45;Feb 46;Feb 48;Feb 40;Feb 45;Feb 26;Feb 20;02. Nov;Jan 99;Jan 86;Jan 90;Jan 92;Jan 70
Greece; Wine;Apr 57;Apr 17;Apr 56;Apr 47;Apr 56;Apr 50;Apr 71;Apr 24;Apr 39;Apr 49;04. Dez;Apr 13;Apr 41;Mrz 30;Mai 21;Jun 16;Jun 21;Apr 99;Jun 38;Jun 40
Greece; Spirits;Feb 31;Feb 32;Feb 57;Feb 81;03. Jul;Mrz 32;Mrz 34;Mrz 23;Mrz 26;Mrz 29;Mrz 56;Mrz 45;03. Sep;Mrz 35;Mrz 49;Mrz 37;Mrz 64;04. Apr;Mrz 66;05. Jan
Greece; Other alcoholic beverages;0.05;0.05;0.05;0.06;0.06;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.06;0.07;0.07;0.07;0.07;0.08;0.08;0.10
Grenada; All types;Mai 86;Mai 56;Mai 79;Mai 31;Mai 97;Jun 50;Jun 27;Jun 29;Mai 96;Jun 41;;;;;;;;;;
Grenada; Beer;Jan 77;Jan 37;Jan 44;Jan 36;Jan 55;Jan 60;Jan 20;Jan 74;Jan 55;Jan 60;;;;;;;;;;
Grenada; Wine;0.66;0.56;0.58;0.43;0.47;0.21;0.19;0.14;0.18;0.18;;;;;;;;;;
Grenada; Spirits;Mrz 41;Mrz 60;Mrz 75;Mrz 51;Mrz 95;Apr 68;Apr 88;Apr 40;Apr 22;Apr 53;;;;;;;;;;
Grenada; Other alcoholic beverages;0.02;0.04;0.01;0.00;0.01;0.01;0.00;0.00;0.01;0.10;;;;;;;;;;
Guatemala; All types;Jan 32;Jan 65;Jan 95;Feb 19;02. Sep;Jan 68;02. Mai;Feb 40;Feb 31;3.00;Feb 47;03. Apr;Feb 77;Feb 58;03. Mrz;03. Feb;Feb 82;Feb 91;Feb 73;Feb 49
Guatemala; Beer;0.68;0.86;0.82;0.88;0.82;0.66;0.65;0.69;0.65;0.66;0.62;0.87;0.82;0.65;0.77;0.75;0.73;0.84;0.94;0.85
Guatemala; Wine;0.03;0.03;0.03;0.02;0.04;0.04;0.03;0.02;0.02;0.01;0.02;0.01;0.01;0.02;0.01;0.03;0.00;0.00;0.00;0.00
Guatemala; Spirits;0.61;0.75;01. Sep;Jan 28;Jan 22;0.98;Jan 36;Jan 69;Jan 64;Feb 33;Jan 83;Feb 16;Jan 95;Jan 91;Feb 25;Feb 25;02. Aug;02. Jul;Jan 79;Jan 64
Guatemala; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Guinea; All types;0.33;0.39;0.24;0.32;0.59;0.41;0.40;0.37;0.26;0.16;0.21;0.19;0.18;0.15;0.06;0.05;0.05;0.05;0.05;0.06
Guinea; Beer;0.13;0.14;0.11;0.05;0.06;0.14;0.15;0.15;0.15;0.05;0.06;0.08;0.08;0.07;0.05;0.04;0.04;0.04;0.05;0.06
Guinea; Wine;0.01;0.01;0.01;0.01;0.01;0.02;0.03;0.02;0.02;0.02;0.04;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.00;0.00
Guinea; Spirits;0.19;0.24;0.12;0.26;0.50;0.25;0.22;0.20;0.10;0.10;0.11;0.09;0.08;0.07;0.00;0.00;0.00;0.00;0.00;0.00
Guinea; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Guinea-Bissau; All types;Feb 17;02. Mai;Feb 31;Feb 78;Feb 96;3.00;03. Dez;Feb 78;03. Apr;Feb 88;Feb 67;0.00;Feb 46;Feb 44;Feb 84;03. Nov;Mrz 16;Mrz 55;Mrz 19;Feb 53
Guinea-Bissau; Beer;0.21;0.29;0.30;0.23;0.40;0.45;0.36;0.32;0.34;0.51;0.37;0.49;0.40;0.39;0.47;0.54;0.52;0.60;0.53;0.39
Guinea-Bissau; Wine;0.40;0.20;0.61;0.45;0.37;0.48;0.69;0.53;0.44;0.47;0.42;0.27;0.07;0.04;0.19;0.13;0.30;0.18;0.21;0.10
Guinea-Bissau; Spirits;0.60;0.66;0.68;0.70;0.72;0.74;0.76;0.79;0.81;0.84;0.77;0.77;0.78;0.84;0.79;0.80;0.79;0.96;0.85;0.87
Guinea-Bissau; Other alcoholic beverages;0.95;0.91;0.72;Jan 40;Jan 47;Jan 33;Jan 31;Jan 15;Jan 46;01. Jun;01. Nov;Jan 48;Jan 20;Jan 17;Jan 40;Jan 64;Jan 56;Jan 81;Jan 60;Jan 17
Guyana; All types;Mrz 94;Mrz 84;Apr 16;Apr 21;Mrz 67;Mrz 87;15.43;Dez 47;11. Okt;Sep 54;Sep 94;Okt 35;Jul 60;06. Jun;Mai 89;04. Jun;Mai 17;06. Jun;Jun 21;05. Feb
Guyana; Beer;Jan 20;Jan 14;Jan 15;01. Sep;0.81;0.97;Jan 36;Jan 36;Jan 20;01. Jun;01. Apr;Jan 31;0.93;Jan 33;Jan 17;0.98;0.88;Jan 21;Jan 58;Jan 78
Guyana; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Guyana; Spirits;Feb 53;Feb 56;Feb 87;Feb 90;Feb 64;Feb 53;14. Jul;11. Nov;Sep 91;Aug 48;Aug 90;09. Apr;Jun 67;Apr 72;Apr 73;03. Aug;Apr 29;Apr 86;Apr 63;Mrz 23
Guyana; Other alcoholic beverages;0.21;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
